timestamp,x,y,z
600193225.0,3.57,1.715,1.155
600193227.4,-1.54,1.715,1.6800001
600193229.8,-4.935,-0.07,1.645
600193232.1,-0.21000001,-1.4,1.19
600193234.5,4.445,-1.61,1.33
600193236.9,-0.455,-1.47,1.645
600193239.2,-5.355,-0.35,1.505
600193241.6,-0.595,1.4,0.875
600193245.0,3.885,0.945,0.98
600193247.5,-0.945,-1.015,1.365
600193250.0,-4.795,-1.295,1.47
600193252.5,-0.91,-0.175,0.875
600193255.0,2.905,-0.14,1.155
600193257.5,-1.33,-1.82,1.575
600193260.0,-4.655,-2.415,1.4350001
600193262.5,0.315,-1.26,0.84000003
600193264.0,3.115,-1.05,1.05
600193266.4,-2.345,-1.4,1.4
600193268.8,-4.69,-1.19,1.4350001
600193271.1,-0.42000002,-0.945,0.735
600193273.5,2.59,-0.595,0.735
600193275.9,-1.4,-0.63,1.33
600193278.2,-5.6,-0.28,1.295
600193280.6,-1.19,0.665,0.7
600193284.0,2.695,0.07,0.84000003
600193286.5,-1.4350001,-1.365,1.19
600193289.0,-4.305,-1.575,1.26
600193291.5,-0.91,-0.98,1.19
600193294.0,1.155,-0.42000002,1.015
600193296.5,-1.295,-0.385,1.19
600193299.0,-3.535,-0.56,1.085
600193301.5,-0.7,-0.875,1.155
600193304.0,1.75,-1.505,0.91
600193306.5,0.0,-2.415,1.4350001
600193309.0,-3.045,-2.275,1.4
600193311.5,-1.645,-1.05,1.26
600193314.0,0.735,-0.315,0.98
600193316.5,-0.63,-0.14,0.805
600193319.0,-1.19,0.28,1.12
600193321.5,-1.715,-0.07,0.98
600193324.0,-0.735,-0.14,0.735
600193326.5,0.0,-0.665,1.225
600193329.0,-2.415,-1.295,1.26
600193331.5,-1.995,0.245,0.945
600193334.0,-0.035,0.945,1.12
600193336.5,-0.49,0.735,0.91
600193339.0,-0.245,-1.05,1.61
600193341.5,-1.4350001,-2.73,1.085
600193343.0,2.065,-1.75,1.155
600193345.4,1.925,-0.7,2.275
600193347.8,-5.985,0.245,1.4350001
600193350.1,-1.925,0.63,1.33
600193352.5,4.62,-0.98,1.015
600193354.9,2.765,-1.925,1.05
600193357.2,-2.695,-2.38,2.17
600193359.6,-4.725,-1.4,1.645
600193363.0,1.365,0.84000003,1.05
600193365.5,3.08,1.12,1.155
600193368.0,-1.82,0.35,1.155
600193370.5,-2.135,-0.07,1.225
600193373.0,0.56,1.33,1.19
600193375.5,0.175,2.205,1.54
600193378.0,-4.235,-0.49,1.505
600193380.5,-0.77,-2.275,1.12
600193383.0,5.075,-2.73,1.05
600193385.5,1.155,-3.115,1.365
600193388.0,-4.515,-2.38,1.925
600193390.5,-3.7450001,-0.245,1.295
600193393.0,2.24,1.54,0.77
600193395.5,2.38,0.21000001,1.12
600193398.0,-3.605,-1.575,1.12
600193400.5,-3.465,-2.065,1.12
600193403.0,0.595,-1.295,0.77
600193405.5,1.4350001,0.07,0.77
600193408.0,-3.115,0.665,0.98
600193410.5,-4.48,1.365,0.63
600193413.0,0.7,0.98,0.63
600193415.5,0.84000003,-1.19,0.735
600193418.0,-2.415,-1.75,0.98
600193420.5,-3.15,-1.785,1.4
600193422.0,-1.96,-1.19,0.84000003
600193424.4,0.7,-0.525,0.77
600193426.8,-0.945,-0.91,1.085
600193429.1,-3.535,-1.015,0.805
600193431.5,-1.05,-0.595,0.84000003
600193433.9,-0.28,-1.33,0.945
600193436.2,-1.645,-2.31,1.295
600193438.6,-1.05,-1.085,1.575
600193442.0,-1.96,1.155,1.155
600193444.5,-1.19,1.365,0.875
600193447.0,1.05,-0.735,1.12
600193449.5,0.245,-1.715,0.875
600193452.0,-0.84000003,-1.47,1.26
600193454.5,-2.695,-1.155,1.505
600193457.0,-3.29,0.42000002,1.015
600193459.5,-0.28,1.995,1.05
600193462.0,0.07,1.89,0.63
600193464.5,-0.56,0.525,1.015
600193467.0,-1.365,-2.485,1.715
