timestamp,x,y,z
93612335.0,-1.645,-0.525,0.945
93612354.8,-2.415,-0.105000004,1.12
93612374.5,-2.03,0.0,1.26
93612394.2,-1.05,0.105000004,1.33
93612414.0,-0.245,0.14,1.47
93612433.8,-0.035,-0.21000001,1.4350001
93612453.5,-1.925,0.07,1.33
93612473.2,-2.765,0.105000004,1.295
93612493.0,-2.275,0.105000004,1.225
93612512.8,-0.42000002,-0.14,1.05
93612532.5,1.19,-0.315,1.085
93612552.2,2.135,-0.315,1.33
93612572.0,1.365,-0.175,1.4
93612591.8,-0.385,-0.455,1.26
93612611.5,-2.1,-0.49,1.26
93612631.2,-3.535,-0.21000001,1.26
93612651.0,-4.935,-0.175,1.4
93612670.8,-4.41,-0.84000003,1.295
93612690.5,-1.575,-1.225,1.47
93612710.2,-0.595,-1.4,1.54
93612730.0,-1.47,-0.945,1.47
93612749.8,-1.33,-0.84000003,1.47
93612769.5,-0.14,-0.63,1.47
93612789.2,-1.12,-0.56,1.47
93612809.0,-1.925,-0.56,1.4
93612828.8,-1.6800001,-0.385,1.33
93612848.5,-0.91,-0.7,1.4
93612868.2,-0.315,-0.77,1.4350001
93612888.0,-0.525,-0.91,1.26
93612907.8,0.875,-0.56,1.4
93612927.5,0.875,-0.315,1.4350001
93612947.2,-0.42000002,-0.385,1.33
93612967.0,-2.66,0.245,1.19
93612986.8,-3.885,0.455,1.05
93613006.5,-4.165,0.455,0.91
93613026.2,-3.255,0.035,1.085
93613046.0,-2.415,-0.21000001,1.12
93613065.8,0.175,-0.56,1.4
93613085.5,1.155,-0.56,1.365
93613105.2,-0.595,-0.525,1.295
93613125.0,-0.35,-0.28,1.19
93613144.8,-0.315,-0.28,1.12
93613164.5,-2.065,-0.035,1.05
93613184.2,-2.94,-0.035,1.05
93613204.0,-0.98,-0.315,1.155
93613223.8,-1.4350001,-0.315,1.155
93613243.5,-1.26,-0.595,1.295
93613263.2,-0.28,-0.875,1.155
93613283.0,0.14,-1.05,1.19
93613302.8,-1.61,-0.665,1.155
93613322.5,-2.555,-0.42000002,1.12
93613342.2,-2.45,-0.35,1.155
93613362.0,-3.465,-0.07,0.91
93613381.8,-3.675,0.0,0.91
93613401.5,-2.1,-0.14,0.98
93613421.2,0.14,-0.385,1.05
93613441.0,1.645,-0.28,1.155
93613460.8,1.015,-0.315,1.33
93613480.5,-1.47,-0.35,1.225
93613500.2,-2.17,-0.245,1.05
93613520.0,-1.085,-0.315,1.085
93613539.8,-1.33,-0.42000002,1.19
93613559.5,-179.34,358.89,-25.865
93613579.2,8.19,97.72,-7.105
93613599.0,132.86,12.705,4.585
93613618.8,79.17,48.79,9.03
93613638.5,-92.715004,30.1,-3.325
93613658.2,-36.925,5.81,-1.295
93613678.0,-2.73,0.455,1.015
93613697.8,-2.66,-0.315,1.19
93613717.5,-2.695,-0.28,1.26
93613737.2,-2.415,0.0,1.155
93613757.0,-0.77,0.315,1.05
93613776.8,0.91,0.14,1.26
93613796.5,-0.385,0.035,1.155
93613816.2,-1.925,-0.21000001,0.98
93613836.0,-1.575,-0.315,1.19
93613855.8,-1.12,-0.28,1.225
93613875.5,-3.01,-0.035,0.805
93613895.2,-3.08,0.035,0.7
93613916.0,-2.38,-0.07,0.875
93613936.0,-1.26,0.105000004,0.945
93613956.0,1.19,0.175,1.015
93613976.0,0.805,-0.14,1.05
93613995.0,0.525,-0.315,1.19
93614014.8,1.085,-0.63,1.26
93614034.5,-1.4,-0.735,1.225
93614054.2,-3.885,-0.245,1.085
93614074.0,-2.31,-0.315,1.12
93614093.8,-0.07,-0.63,1.12
93614113.5,1.225,-0.665,1.26
93614133.2,2.24,-0.245,1.155
93614153.0,4.13,0.245,1.155
93614172.8,1.4350001,0.0,1.085
93614192.5,-1.995,-0.175,1.19
93614212.2,-3.815,-0.21000001,1.19
93614232.0,-6.02,-0.35,1.05
93614251.8,-6.51,-0.42000002,0.91
93614271.5,-2.66,-0.7,1.19
93614291.2,-0.595,-0.63,1.12
93614311.0,-1.05,-0.28,1.05
93614330.8,-1.225,-0.28,0.98
93614350.5,-1.085,-0.21000001,1.05
93614370.2,-2.31,-0.035,0.91
93614390.0,-4.69,-0.035,0.525
93614409.8,-3.57,-0.14,0.525
93614429.5,-1.855,0.0,0.56
93614449.2,-0.385,0.315,0.56
93614469.0,0.315,0.385,0.56
93614488.8,1.12,0.035,0.525
93614508.5,-0.245,-0.07,0.35
93614528.2,-2.975,0.0,0.35
93614548.0,-5.915,0.21000001,0.245
93614567.8,-5.7400002,0.28,0.455
93614587.5,-3.115,0.0,0.63
93614607.2,-2.275,-0.245,0.84000003
93614627.0,-1.05,-0.105000004,1.19
93614646.8,1.33,-0.385,1.61
93614666.5,0.035,-0.595,1.47
93614686.2,-1.925,-0.525,0.875
93614706.0,-0.945,0.28,0.665
93614725.8,-2.38,1.155,0.315
93614745.5,-1.33,0.98,0.07
93614765.2,2.205,0.805,-0.035
93614785.0,1.995,1.155,-1.015
93614804.8,0.07,1.995,-2.135
93614824.5,-1.75,3.535,-2.66
93614844.2,-2.1,6.7200003,-4.725
93614864.0,-2.835,13.755,-7.98
93614883.8,-3.22,25.095,-12.46
93614903.5,-3.045,37.1,-19.985
93614923.2,-5.075,53.235,-27.79
93614943.0,-7.805,74.795,-35.84
93614962.8,-14.91,103.005,-45.08
93614982.5,-28.7,133.84,-60.935
93615002.2,-48.86,153.37,-87.885
93615022.0,-47.635,155.4,-127.54
93615041.8,-12.635,122.92,-168.105
93615061.5,79.8,87.01,-182.91
93615081.2,155.785,36.785,-195.545
93615101.0,227.08,-75.495,-115.99
93615120.8,195.755,-110.39,-13.72
93615140.5,165.62,-114.87,73.57
93615160.2,177.835,-115.99,140.105
93615180.0,207.62,-101.01,180.11
93615199.8,222.74,-92.05,220.325
93615219.5,179.34,-96.39,259.525
93615239.2,76.02,-105.91,271.635
93615259.0,-3.045,-113.75,255.85
93615278.8,-27.51,-120.26,213.57
93615298.5,-54.04,-105.07,131.285
93615318.2,45.815,-21.210001,81.445
93615338.0,119.945,69.16,58.415
93615357.8,-189.80501,130.025,-18.9
93615377.5,-96.565,85.715004,-40.46
93615397.2,-173.81,43.015,-150.745
93615417.0,-157.43001,107.555,-138.635
93615436.8,-152.915,102.095,-100.695
93615456.5,-172.06,76.895,-78.715004
93615476.2,-141.505,37.170002,-59.08
93615496.0,-74.935,7.035,-37.765
93615515.8,-33.39,-4.13,-22.925
93615535.5,-17.43,-4.34,-13.51
93615555.2,-14.315001,-2.24,-9.695
93615575.0,-6.79,0.28,-3.885
93615594.8,1.61,7.665,0.84000003
93615614.5,5.11,14.1050005,-3.7450001
93615634.2,1.54,17.815,-12.67
93615654.0,-1.855,19.6,-22.155
93615673.8,-4.235,17.955,-31.22
93615693.5,-6.93,17.99,-35.21
93615713.2,-10.045,30.03,-37.45
93615733.0,-10.15,50.54,-37.625
93615752.8,-6.055,80.64,-34.44
93615772.5,1.96,119.0,-29.575
93615792.2,-2.905,167.93001,-26.11
93615812.0,-29.54,218.68001,-29.645
93615831.8,-73.92,267.89,-53.305
93615851.5,-134.19,311.5,-100.625
93615871.2,-180.915,352.975,-157.605
93615891.0,-193.76,383.495,-203.035
93615910.8,-136.325,379.75,-199.395
93615930.5,-43.505,323.12,-186.235
93615950.2,15.645,239.33,-182.945
93615970.0,-79.625,131.46,-116.62
93615989.8,-61.145,-67.69,20.44
93616009.5,-10.185,-141.54,98.98
93616029.2,37.625,-137.865,125.86
93616049.0,78.96,-151.06,135.8
93616068.8,108.745,-197.155,142.17
93616088.5,126.56,-244.195,147.56
93616108.2,121.38,-270.13,153.405
93616128.0,108.71,-280.35,159.495
93616147.8,103.6,-288.645,171.57
93616167.5,107.66,-300.685,190.365
93616187.2,103.705,-312.2,210.56
93616207.0,96.775,-308.385,220.78
93616226.8,93.135,-284.13,217.63
93616246.5,92.505,-251.72,199.43001
93616266.2,82.985,-215.285,171.22
93616286.0,42.49,-195.895,134.575
93616305.8,-28.98,-204.575,51.87
93616325.5,41.755,-132.825,-25.13
93616345.2,136.255,-8.995,-46.095
93616365.0,-38.185,82.39,-104.58
93616384.8,3.43,74.935,-140.385
93616404.5,-130.025,54.670002,-209.05501
93616424.2,-150.955,142.24,-115.115
93616444.0,-103.11,126.07,-79.94
93616463.8,-87.955,100.415,-59.36
93616483.5,-96.04,64.47,-41.195
93616503.2,-75.11,39.06,-27.195
93616523.0,-49.98,19.915,-15.26
93616542.8,-35.805,9.205,-9.345
93616562.5,-23.205,5.32,-5.285
93616582.2,-16.87,3.01,-2.52
93616602.0,-22.085001,2.905,-5.425
93616621.8,-25.55,1.75,-8.925
93616641.5,-31.255001,3.01,-12.005
93616661.2,-29.645,6.93,-15.68
