timestamp,x,y,z
600255034.0,2.45,-0.315,0.98
600255036.5,-6.055,2.345,1.085
600255039.0,-1.89,4.76,0.455
600255041.5,5.915,3.15,1.19
600255044.0,2.31,-3.08,2.1
600255046.5,-3.675,-6.86,1.785
600255049.0,-0.91,-6.09,1.155
600255051.5,4.76,-3.85,1.12
600255053.0,1.96,-2.24,1.82
600255055.4,-4.48,0.0,1.61
600255057.8,-1.96,3.71,0.665
600255060.1,5.985,5.46,0.525
600255062.5,3.465,1.82,2.205
600255064.9,-5.25,-3.115,2.555
600255067.2,-2.24,-4.935,1.505
600255069.6,6.475,-4.375,1.085
600255073.0,4.69,-3.045,1.645
600255075.5,-4.2,-0.665,1.715
600255078.0,-5.145,2.94,0.875
600255080.5,4.48,4.62,0.7
600255083.0,5.67,1.26,1.75
600255085.5,-3.815,-3.64,2.135
600255088.0,-4.725,-5.145,1.575
600255090.5,3.3600001,-3.535,0.805
600255092.0,5.705,-2.135,1.47
600255094.4,-3.01,-1.75,1.89
600255096.8,-6.895,1.12,0.77
600255099.1,2.59,4.025,0.315
600255101.5,5.53,3.15,1.19
600255103.9,-2.31,-0.07,2.03
600255106.2,-5.81,-3.64,1.925
600255108.6,1.54,-5.005,0.84000003
600255112.0,6.58,-5.145,1.505
600255114.5,-1.96,-4.725,2.1
600255117.0,-8.12,-0.665,0.875
600255119.5,-0.175,5.425,-0.07
600255122.0,6.6150002,6.86,0.56
600255124.5,-0.245,2.03,1.995
600255127.0,-9.205,-2.38,1.4
600255129.5,-0.455,-3.815,0.84000003
600255132.0,7.525,-6.79,2.135
600255134.5,-2.66,-7.42,1.82
600255137.0,-6.79,-2.765,0.98
600255139.5,-0.385,2.975,0.245
600255142.0,3.395,6.93,0.245
600255144.5,-1.26,4.41,1.75
600255147.0,-7.84,-0.385,1.225
600255149.5,-0.91,-2.765,0.525
600255152.0,6.02,-5.81,1.715
600255154.5,-2.17,-6.7200003,1.82
600255157.0,-7.035,-2.94,1.33
600255159.5,-1.4350001,2.24,0.175
600255162.0,4.76,5.775,0.315
600255164.5,-0.035,4.025,1.54
600255167.0,-8.33,1.015,1.19
600255169.5,-1.4,0.035,0.63
