timestamp,x,y,z
600560543.0,-6.09,2.135,-0.35
600560545.4,-6.335,2.38,-0.175
600560547.8,-6.545,2.52,-0.035
600560550.1,-6.405,2.8700001,0.14
600560552.5,-5.88,3.08,0.175
600560554.9,-5.7400002,3.08,0.21000001
600560557.2,-5.6,2.765,0.245
600560559.6,-5.32,2.24,0.245
600560562.0,-5.145,1.925,0.175
600560564.4,-4.83,2.03,0.28
600560566.8,-5.04,2.03,0.245
600560569.1,-5.11,2.1,0.245
600560571.5,-5.25,1.96,0.21000001
600560573.9,-5.075,1.785,0.14
600560576.2,-4.725,1.82,0.07
600560578.6,-4.655,1.715,0.07
600560581.0,-4.62,1.6800001,0.035
600560583.4,-4.62,1.47,-0.105000004
600560585.8,-4.69,1.4350001,-0.14
600560588.1,-4.795,1.4,-0.105000004
600560590.5,-4.97,1.33,-0.105000004
600560592.9,-5.005,1.365,-0.175
600560595.2,-4.9,1.19,-0.175
600560597.6,-4.41,0.84000003,-0.21000001
600560600.0,-3.955,0.42000002,-0.35
600560602.4,-3.535,-0.07,-0.385
600560604.8,-3.3600001,-0.42000002,-0.21000001
600560607.1,-3.395,-0.91,-0.07
600560609.5,-3.115,-0.875,0.105000004
600560611.9,-2.66,-0.84000003,0.105000004
600560614.2,-2.1,-0.84000003,0.105000004
600560616.6,-1.75,-0.875,0.105000004
600560619.0,-1.715,-1.295,0.07
600560621.4,-1.54,-1.715,0.07
600560623.8,-1.19,-1.925,0.035
600560626.1,-1.12,-2.03,0.105000004
600560628.5,-1.295,-2.03,0.07
600560630.9,-1.295,-1.75,0.35
600560633.2,-1.295,-1.365,0.42000002
600560635.6,-1.05,-1.19,0.42000002
600560638.0,-0.595,-1.015,0.455
600560640.4,-0.455,-1.19,0.595
600560642.8,-0.49,-1.4350001,0.63
600560645.1,-0.42000002,-1.47,0.735
600560647.5,-0.175,-1.61,0.77
600560649.9,-0.035,-1.61,0.875
600560652.2,0.175,-1.54,0.875
600560654.6,0.0,-1.4350001,0.84000003
