timestamp,x,y,z
600727847,-0.56,-0.595,1.015
600727849.5,-0.805,-1.015,1.05
600727852,-1.295,-1.26,1.225
600727854.5,-1.365,-1.26,1.26
600727857,-1.05,-1.05,1.26
600727859.5,-0.525,-0.945,1.155
600727862,-0.42000002,-0.7,1.155
600727864.5,-0.665,-0.63,1.225
600727867,-0.91,-0.665,1.26
600727869.5,-1.05,-0.735,1.26
600727872,-1.05,-0.7,1.4
600727874.5,-0.98,-0.84000003,1.4
600727877,-0.735,-0.91,1.295
600727879.5,-0.525,-0.77,1.26
600727882,-0.49,-0.84000003,1.4
600727884.5,-0.595,-0.875,1.47
600727886,-0.63,-0.875,1.365
600727888.4,-0.63,-0.805,1.47
600727890.8,-0.665,-0.7,1.4350001
600727893.1,-0.63,-0.77,1.365
600727895.5,-0.42000002,-0.665,1.4
600727897.9,-0.28,-0.84000003,1.47
600727900.2,-0.385,-0.945,1.505
600727902.6,-0.42000002,-1.085,1.4350001
600727906,-0.525,-1.085,1.47
600727908.5,-0.665,-0.98,1.505
600727911,-0.77,-0.735,1.505
600727913.5,-0.84000003,-0.56,1.54
600727916,-0.84000003,-0.42000002,1.54
600727918.5,-0.455,-0.42000002,1.54
600727921,-0.28,-0.315,1.54
600727923.5,-0.665,-0.35,1.645
600727926,-1.085,-0.245,1.785
600727928.5,-0.98,-0.21000001,1.82
600727931,-0.525,-0.14,1.96
600727933.5,-0.14,-0.14,1.925
600727936,-0.315,0.175,1.925
600727938.5,-0.805,0.56,1.715
600727941,-0.63,0.42000002,1.75
600727943.5,-0.035,0.105000004,1.785
600727946,0.35,-0.07,1.855
600727948.5,0.42000002,0,1.785
600727951,0.28,0.21000001,1.82
600727953.5,0.14,0.14,1.82
600727956,0,0.105000004,1.925
600727958.5,0.07,0.07,1.855
600727961,0.21000001,0,1.715
600727963.5,0.175,-0.245,1.575
600727965,-0.035,-0.42000002,1.75
600727967.4,-0.07,-0.42000002,1.715
600727969.8,-0.315,-0.35,1.715
600727972.1,-0.315,-0.035,1.61
600727974.5,-0.42000002,0.385,1.47
600727976.9,-0.735,0.595,1.295
600727979.2,-0.91,0.7,1.295
600727981.6,-1.085,0.735,1.19
600727985,-1.12,0.7,1.225
600727987.5,-1.05,0.385,1.085
600727990,-1.19,0.07,0.945
600727992.5,-1.4,0.175,0.98
600727995,-1.61,0.595,0.945
600727997.5,-1.54,1.05,0.91
600728000,-1.575,1.33,0.875
600728002.5,-1.61,1.33,0.945
600728005,-1.575,1.365,1.015
600728007.5,-1.61,1.295,0.98
600728010,-1.4350001,0.98,1.015
600728012.5,-0.98,0.77,0.945
600728015,-0.77,0.63,0.77
600728017.5,-0.84000003,0.7,0.84000003
600728020,-0.875,0.945,0.91
600728022.5,-0.77,1.4,0.77
600728025,-0.665,2.065,0.77
600728027.5,-0.49,2.555,0.63
600728030,-0.42000002,2.905,0.595
600728032.5,-0.385,2.905,0.63
600728035,-0.49,2.94,0.63
600728037.5,-0.42000002,3.15,0.63
600728040,-0.14,3.43,0.7
600728042.5,0.035,3.57,0.77
600728044,0.175,3.57,0.735
600728046.4,0.105000004,3.815,0.945
600728048.8,-0.665,3.99,0.805
600728051.1,-0.245,4.48,0.945
600728053.5,0.63,4.69,1.155
600728055.9,0.42000002,4.48,1.085
600728058.2,0.245,4.375,1.12
600728060.6,0.385,4.69,1.155
600728064,-0.07,5.075,1.26
600728066.5,-0.35,4.795,1.19
600728069,0.175,4.27,1.295
600728071.5,0.84000003,4.06,1.155
600728074,0.77,3.78,1.05
600728076.5,0.21000001,3.535,1.085
600728079,-0.665,3.43,1.155
600728081.5,-1.155,3.325,1.085
600728083,-1.155,3.43,0.98
600728085.4,-0.875,3.465,0.91
600728087.8,-0.91,3.29,0.77
600728090.1,-1.225,3.08,0.595
