timestamp,x,y,z
174081092.0,0.525,-4.095,2.835
174081112.0,0.63,-3.955,2.835
174081132.0,0.56,-3.535,2.59
174081152.0,0.21000001,-3.535,2.45
174081171.0,0.28,-3.535,2.415
174081190.8,0.21000001,-3.465,2.38
174081210.5,0.14,-3.255,2.24
174081230.2,0.07,-3.185,2.24
174081251.0,-0.035,-3.395,2.38
174081271.0,-0.07,-3.3600001,2.45
174081291.0,-0.035,-3.325,2.45
174081311.0,-0.07,-3.57,2.45
174081331.0,-0.14,-3.7450001,2.695
174081351.0,-0.175,-3.85,2.765
174081371.0,-0.105000004,-3.605,2.59
174081391.0,-0.14,-3.3600001,2.66
174081411.0,-0.21000001,-3.3600001,2.765
174081431.0,-0.35,-3.64,2.555
174081451.0,-0.28,-3.92,2.555
174081471.0,-0.245,-3.7450001,2.8
174081490.0,0.0,-3.5,2.73
174081509.8,-0.035,-3.57,2.8
174081529.5,0.14,-3.78,2.73
174081549.2,0.175,-3.85,2.625
174081569.0,0.315,-3.465,2.73
174081588.8,0.245,-3.465,2.835
174081608.5,-0.035,-3.78,2.485
174081628.2,-0.14,-3.92,2.625
174081649.0,-0.035,-3.815,2.73
174081669.0,-0.035,-3.675,2.66
174081689.0,0.0,-3.605,2.52
174081709.0,0.0,-3.815,2.59
174081728.0,0.035,-3.99,2.52
174081747.8,0.105000004,-4.06,2.695
174081767.5,0.245,-3.815,2.8
174081787.2,0.35,-3.5,2.415
174081808.0,0.175,-3.57,2.66
174081828.0,0.07,-3.605,2.59
174081848.0,-0.07,-3.43,2.275
174081868.0,-0.14,-3.395,2.205
174081887.0,0.0,-3.3600001,2.31
174081906.8,-0.105000004,-3.78,2.31
174081926.5,-0.14,-4.025,2.31
174081946.2,-0.105000004,-3.885,2.345
174081967.0,-0.07,-3.64,2.17
174081987.0,0.14,-3.71,2.24
174082007.0,0.0,-3.64,1.995
174082027.0,-0.245,-3.7450001,2.03
174082046.0,-0.14,-3.535,2.065
174082065.8,-0.105000004,-3.43,2.205
174082085.5,-0.21000001,-3.7450001,2.24
174082105.2,-0.14,-3.78,1.995
174082125.0,-0.175,-3.99,2.1
174082144.8,-0.105000004,-4.06,2.135
174082164.5,-0.105000004,-3.99,2.205
174082184.2,-0.07,-3.99,2.065
174082205.0,0.035,-3.99,2.1
174082225.0,0.175,-4.025,2.415
174082245.0,0.105000004,-3.92,2.45
174082265.0,0.035,-3.885,2.275
174082285.0,-0.315,-4.095,1.6800001
174082305.0,4.48,9.975,2.205
174082325.0,4.27,-0.245,2.66
174082345.0,2.205,-4.235,1.89
174082365.0,1.085,-1.155,2.135
174082385.0,-0.455,-4.235,2.17
174082405.0,-0.175,-4.69,2.345
174082425.0,-0.035,-4.06,2.31
174082444.0,0.0,-3.535,2.1
174082463.8,0.0,-3.22,2.135
174082483.5,0.035,-3.3600001,2.135
174082503.2,-0.105000004,-3.3600001,2.03
174082524.0,-0.35,-3.57,1.785
174082544.0,-0.315,-3.325,1.75
174082564.0,-0.14,-3.185,1.82
174082584.0,-0.07,-3.255,1.855
174082603.0,-0.14,-3.5,1.785
174082622.8,-0.14,-3.885,2.03
174082642.5,-0.07,-3.885,2.135
174082662.2,0.035,-3.5,1.75
174082682.0,-0.175,-3.22,1.715
174082701.8,-0.42000002,-3.78,1.75
174082721.5,-0.56,-3.92,1.785
174082741.2,-0.525,-3.815,1.54
174082762.0,-0.315,-3.605,1.365
174082782.0,-0.28,-3.57,1.295
174082802.0,-0.28,-3.85,1.47
174082822.0,-0.35,-4.235,1.6800001
174082841.0,-0.49,-4.13,1.505
174082860.8,-0.35,-3.465,1.47
174082880.5,-0.35,-3.675,1.47
174082900.2,-0.315,-4.165,1.505
174082921.0,-0.28,-4.06,1.61
174082941.0,-0.35,-3.85,1.61
174082961.0,-0.455,-3.675,1.54
174082981.0,-0.455,-3.64,1.575
174083000.0,-0.42000002,-3.675,1.61
174083019.8,-0.385,-3.465,1.715
174083039.5,-0.455,-3.85,1.75
174083059.2,-0.56,-4.13,1.785
