timestamp,x,y,z,gx,gy,gz
180604668.0,-4.5943837,-0.70112205,9.071514,-1.6800001,6.09,-1.26
180604687.2,-4.5704546,-0.9164838,9.109801,-1.19,4.97,-1.75
180604706.5,-4.663778,-0.6795859,9.143302,-2.17,3.85,-2.03
180604725.8,-4.5465255,-0.832732,9.152873,-3.15,3.57,-2.45
180604746.0,-4.218697,-1.222776,9.0428,-2.94,3.43,-2.1
180604765.5,-4.321592,-0.84708947,9.071514,-2.1,5.39,-1.26
180604785.0,-4.4867024,-0.5240469,9.210303,-3.43,8.54,-2.31
180604804.5,-4.4986672,-0.7418015,9.179195,-6.58,11.41,-4.06
180604824.0,-4.816924,-0.7394086,8.892047,-10.15,13.72,-5.6
180604843.5,-4.4986672,-1.2060257,9.152873,-7.84,14.28,-4.41
180604863.0,-4.4101295,-0.19382556,8.961441,-7.21,15.75,-4.13
180604882.5,-4.656599,-0.6676214,8.939904,-10.43,20.86,-8.75
180604901.0,-4.773852,-0.7059079,9.028442,-13.86,28.49,-14.84
180604920.2,-4.4340587,-1.0385221,9.011692,-15.26,37.170002,-17.43
180604939.5,-4.245019,-1.3137065,8.987762,-15.05,48.09,-15.89
180604958.8,-4.225876,-1.0887731,8.896832,-15.190001,64.68,-13.65
180604979.0,-4.991606,0.09571633,9.822887,-22.4,86.8,-17.29
180604998.5,-6.0851655,0.49533197,10.390007,-39.9,95.69,-27.44
180605018.0,-9.554882,0.06460852,10.56469,-47.81,81.27,-40.46
180605037.5,-9.138516,0.57908374,7.764987,-11.13,32.62,-66.22
180605056.0,-16.496708,-3.256748,7.997099,-5.81,31.64,-108.99
180605075.2,-13.630005,4.9269977,3.7592585,77.42,42.77,-122.08
180605094.5,-9.6912775,17.322262,5.6616206,127.47,29.4,-29.4
180605113.8,-10.016713,5.802802,6.6762137,102.55,19.67,85.26
180605134.0,-6.1330233,0.067001425,2.163189,94.01,28.7,143.99
180605153.5,-7.085401,-5.3816504,3.1658175,86.24,60.06,141.61
180605173.0,-8.257926,-7.8008804,5.7142644,52.08,81.06,84.0
180605192.5,-6.5158887,-7.6190195,6.015771,46.76,79.31,21.0
180605211.0,-4.9102473,-5.3529353,6.3172774,49.420002,63.21,-23.87
180605230.2,1.4764243,0.30389932,-0.64129937,57.4,54.32,-39.55
180605249.5,2.0172215,-0.10050214,-2.3881223,65.94,103.32,-23.45
180605268.8,-9.243804,3.493646,9.985605,43.89,137.97,-6.44
180605289.0,-20.430649,1.849718,62.986126,-128.45,100.17,-69.72
180605308.5,-20.351683,-2.629806,21.96929,-119.07,75.25,-113.82
180605328.0,-14.929354,0.57669085,8.382357,-50.19,-44.87,-66.78
180605347.5,-13.220818,-1.8832186,18.841759,-43.82,-92.4,-31.85
180605367.0,-9.327556,0.1172525,10.507259,-36.12,-146.79,-30.380001
180605386.5,-6.9370403,-0.75615895,7.65252,-24.85,-173.39,-18.76
180605406.0,-4.668564,-2.88824,9.497452,-22.75,-153.23,0.7
180605425.5,-4.345521,-2.5077677,9.597955,-9.31,-117.25,17.57
180605444.0,-3.8095098,-1.3304569,9.779816,3.71,-68.88,24.22
180605463.2,-3.070101,-0.3517575,10.107644,6.7200003,-9.38,17.29
180605482.5,-3.6085055,-0.6197632,9.901854,4.97,56.49,6.44
180605501.8,-4.582419,-1.1485959,9.5405245,7.91,117.88,-1.96
180605522.0,-5.4510446,-0.911698,8.717364,16.17,167.44,-2.73
180605541.5,-6.2813835,-0.9140909,7.3510137,19.6,198.24,4.13
180605561.0,-7.37255,-0.95237744,6.3172774,24.43,208.39,5.32
180605580.5,-8.059315,-1.1366314,5.520439,30.03,200.9,9.52
180605599.0,-8.949476,-1.2395264,6.369921,35.63,189.0,16.17
180605618.2,-10.117215,-0.39482984,5.1950035,37.52,173.04,22.68
180605637.5,-11.115058,-0.11485959,5.5012956,32.69,146.37,26.11
180605656.8,-13.4529295,-0.5288327,6.618784,16.94,120.75,27.58
180605676.0,-11.854466,2.5651975,6.2909555,3.92,94.64,30.1
180605695.2,-15.970268,-0.46183127,10.394793,-12.39,70.98,20.93
180605714.5,-13.043742,-0.8040171,6.7862873,20.65,-2.59,36.82
180605733.8,-17.45387,-8.497216,10.366077,86.87,-49.7,28.7
180605754.0,-0.69872916,3.6372204,16.441671,49.07,-153.09,-5.18
180605773.5,10.4354725,-2.3330853,-1.2419193,36.68,-127.68,48.3
180605793.0,2.8690968,-2.1512244,8.726935,42.07,-62.86,105.98
180605812.5,-0.6580497,-9.267733,9.80853,19.39,-55.23,102.9
180605832.0,-3.4194658,-8.750865,9.966462,2.31,-72.73,60.9
180605851.5,-8.585754,-9.0978365,11.639105,-35.49,-116.9,4.76
180605871.0,-9.4137,-6.484781,6.843717,-51.03,-154.07,-48.93
180605890.5,-10.693906,-0.8542682,5.805195,-60.48,-165.62,-83.44
180605910.0,-12.222975,4.5537043,5.0107493,-71.82,-160.58,-80.22
180605929.5,-13.5031805,5.83391,2.2995846,-77.0,-143.85,-61.25
180605949.0,-15.738156,7.7817373,0.69633627,-83.44,-124.04,-49.420002
180605968.5,-12.40005,8.363214,-8.552254,-76.65,-88.06,-38.36
180605987.0,-9.822887,4.0990515,-17.537624,-64.05,2.31,-37.170002
180606006.2,-8.717364,1.9621847,-20.327755,-14.28,121.17,-49.49
180606025.5,-2.656128,7.4898024,-21.083914,77.840004,238.28,-44.38
180606044.8,-78.35099,28.521072,78.40124,-288.96,184.31,-107.87
180606064.0,-78.35099,-64.7497,78.40124,-132.93001,33.04,-142.73
180606083.2,-7.623805,-6.9609694,11.53621,0.42000002,-193.55,-29.61
180606102.5,-5.4295087,2.5484471,7.683628,-15.68,-208.6,21.7
180606121.8,-5.1016803,-0.89494765,10.270362,-26.95,-147.21,14.84
180606142.0,-3.3428926,-1.952613,10.416329,-17.5,-83.16,2.24
180606161.5,-2.2756555,-1.7013576,10.772872,-7.91,-9.59,0.14
180606181.0,-1.8736471,-1.3902797,9.877925,1.19,76.44,3.5
180606200.5,-1.093559,-1.4189945,9.798959,14.07,186.2,8.26
180606219.0,-0.9284483,-1.7563945,9.19116,37.03,320.39,26.39
180606238.2,-6.307706,0.93562704,8.171782,70.21,432.81,30.66
180606257.5,-9.164838,1.4883888,8.449359,133.84,463.33002,0.35
180606276.8,-17.030327,2.9313123,8.528324,113.12,459.83002,7.21
180606297.0,-29.159979,8.040172,25.202108,46.69,426.02,70.91
180606316.5,-21.545744,-0.6269419,34.721096,-7.98,340.34,125.16
180606336.0,-32.012325,1.2897775,12.601054,7.07,368.62,139.16
180606355.5,-36.1712,19.956854,-12.148794,-59.920002,316.4,206.36
180606375.0,-29.370554,-6.707321,42.636837,-24.5,46.48,223.37
180606394.5,0.28236315,-4.194768,26.769463,-29.05,-45.29,219.17
180606414.0,-6.8532887,-17.331833,34.285587,-53.2,-42.28,203.56
180606433.5,-2.938491,-18.765184,32.18222,-27.37,-103.04,164.36
180606452.0,0.79205257,-17.578302,26.410526,-48.58,-151.9,102.41
180606471.2,0.81358874,-19.48545,23.455286,-88.340004,-188.58,23.87
180606490.5,-2.0770442,-16.745571,21.593603,-122.08,-232.4,-69.51
180606509.8,-8.798723,-10.995413,20.925982,-161.63,-293.72,-165.83
180606530.0,-10.801587,-6.661856,13.953047,-175.91,-356.65,-242.13
180606549.5,-12.51491,6.0277357,9.631455,-162.47,-382.48,-297.15
180606569.0,-24.788136,19.614668,-2.1512244,-193.2,-384.37,-307.51
180606588.5,-35.98216,32.05061,-19.356234,-181.93001,-331.8,-205.03
180606607.0,-60.370678,30.105177,-25.891266,-134.75,-247.1,-76.3
180606626.2,-56.843533,34.752205,-55.721256,-65.590004,-114.94,-3.85
180606645.5,-54.92442,24.847958,-46.324306,-2.52,66.22,45.29
180606664.8,-23.948225,16.755142,-39.131226,54.39,212.03,54.46
180606685.0,-78.35099,27.26958,78.40124,-187.04,236.25,-12.04
180606704.5,29.569166,32.512444,-40.05489,69.02,-315.7,34.44
180606724.0,-3.5247536,-3.460145,15.702263,57.82,-224.7,45.08
180606743.5,-4.814531,1.2945633,10.459401,20.44,-84.63,37.45
180606762.0,-3.278284,2.268477,7.9444547,12.39,-32.62,10.01
180606781.2,-3.6539707,-0.37329367,8.169388,-1.05,12.46,-5.53
180606800.5,-3.8334389,-2.1057591,9.954497,8.19,73.5,-9.1
180606819.8,-0.5647263,-2.1990826,10.459401,41.09,189.84,-4.76
180606839.0,-0.234505,-5.0083566,11.840109,102.9,359.38,19.32
180606858.2,-3.6563635,-0.80641,10.263183,224.42,549.78,44.8
180606877.5,-14.917389,8.260319,28.93026,231.77,763.21,92.47
180606896.8,-69.95428,-5.4797597,38.77229,-183.4,830.76,198.31
180606917.0,-9.629062,14.814494,-78.36774,22.12,338.31,393.4
180606936.5,-78.35099,-28.68379,67.42736,160.3,243.25,183.68001
180606956.0,-39.9161,15.4342575,47.05175,112.28,331.94,105.49
180606975.5,-56.163944,-16.558924,76.142334,52.43,338.31,134.61
180606995.0,-17.417978,-5.565904,56.384094,57.68,190.05,110.46
180607014.5,-3.3022132,-13.366785,51.256092,68.46,79.38,110.74
180607034.0,11.00977,-11.222739,38.561714,76.02,-114.66,87.01
180607053.5,16.7025,-11.962148,19.502201,32.41,-317.59,62.3
180607073.0,9.358664,-13.306962,3.8142955,-41.65,-486.22,60.69
180607092.5,-5.3266134,-14.864745,0.8351249,-89.04,-590.38,31.29
180607112.0,-15.929589,-14.067906,4.271341,-155.26,-588.42,-51.24
180607131.5,-25.431828,-7.274441,10.031071,-141.05,-562.24,-109.69
180607150.0,-27.03029,-4.536954,7.0471144,-148.47,-533.89,-145.95
180607169.2,-21.433277,6.008592,0.67001426,-182.63,-510.44,-217.21
180607188.5,-20.232038,11.579282,-6.0516644,-210.0,-498.12,-272.51
180607207.8,-15.056178,25.783585,-15.331362,-250.53,-478.59,-242.69
180607227.0,-20.52158,18.121492,-21.1222,-308.56,-426.79,-179.27
180607246.2,-30.734512,21.98604,-18.66229,-171.08,-355.53,-59.85
180607265.5,-42.347294,25.596937,-16.649855,-137.48,-260.47,32.13
180607284.8,-44.864635,14.280875,-26.05159,-127.89,-139.02,49.28
180607305.0,-50.906727,12.749414,-25.214073,-20.93,-15.05,32.27
180607324.5,-50.356358,18.166958,-21.165272,11.4800005,58.1,-17.85
180607344.0,-37.889305,22.129614,-26.637854,-15.82,141.89,-18.55
180607363.5,-43.488712,19.085835,-11.988469,-22.54,219.8,55.37
180607382.0,-29.95203,11.727643,-12.857095,17.15,268.52,132.65
180607401.2,-17.513695,-18.169352,-5.029893,110.88,324.24,92.82
180607420.5,-9.770244,23.512714,77.28136,-266.98,548.1,-242.41
180607439.8,-62.648727,-6.7240715,33.067596,-7.14,136.36,63.49
180607460.0,-6.1593456,-1.9238981,4.5537043,59.010002,-19.6,129.08
180607479.5,-9.30602,-1.2036327,10.492902,-42.56,63.07,-44.87
180607499.0,-8.078458,-4.55849,10.447436,-38.15,157.36,-60.2
180607518.5,-2.4646955,-3.7401154,11.026521,18.06,291.2,-24.92
180607538.0,-1.3160994,-7.4874096,15.7261915,153.65,579.67,16.94
180607557.5,-12.112901,-4.4364514,24.14205,248.15,800.73,31.29
180607577.0,-55.54897,-4.3622713,20.442614,23.66,935.76,46.76
180607596.5,-73.065056,1.9573988,21.239452,-269.36002,614.74,120.26
180607615.0,-78.35099,-43.737576,78.40124,-211.12,430.71,136.78
180607634.2,-32.670376,12.964776,-2.9073834,293.09,222.11,185.5
180607653.5,-36.04677,7.6764493,16.791037,81.69,367.99,159.25
180607672.8,-52.088825,-10.457008,28.408606,-76.86,441.14,155.47
180607693.0,-43.50307,-14.1468725,31.880714,59.71,362.11002,150.99
180607712.5,-31.526564,-2.2445478,32.37844,112.840004,328.51,110.6
180607732.0,-31.6151,-8.009064,35.9678,45.43,299.95,83.58
180607751.5,-27.420334,-10.86141,37.07093,55.79,209.51,83.02
180607770.0,-19.91378,-9.222268,36.996754,100.45,101.43,79.24
180607789.2,-9.052371,-5.104073,37.650017,103.18,17.64,58.73
180607808.5,1.1653463,-0.7441944,38.071167,53.06,-58.24,48.79
180607827.8,4.5704546,-4.9652843,38.516247,-19.04,-183.47,45.920002
180607848.0,23.31889,-2.6106627,25.97741,-85.96,-373.24,61.81
180607867.5,12.629769,-16.377064,22.292332,-233.45,-555.45,53.760002
180607887.0,-22.419155,-13.802294,25.635225,-292.25,-698.25,-85.68
180607906.5,-50.318073,-3.7401154,28.267424,-295.19,-754.32,-287.7
180607925.0,-52.911983,13.239961,26.60196,-273.21,-741.58,-324.1
180607944.2,-48.437244,0.45943835,17.25526,-187.53,-702.45,-236.18001
180607963.5,-30.483255,7.839167,7.1763315,-124.88,-608.79,-201.6
180607982.8,-16.891539,24.16598,2.290013,-182.84,-452.76,-167.51
180608003.0,-23.708933,31.248987,-2.9002047,-359.45,-288.68,-48.3
180608022.5,-50.08596,21.923824,-3.098816,-410.9,-222.25,13.440001
180608042.0,-70.96169,19.083443,-3.9147975,-375.55,-275.87,-58.94
180608061.5,-71.205765,30.349253,-24.792921,-268.94,-386.82,-156.17
180608081.0,-33.053238,46.74546,-63.16081,-122.85,-279.86002,-85.33
180608100.5,-47.786373,39.38009,-37.33894,-48.16,-16.59,52.36
180608120.0,-45.04889,32.423904,-28.58568,-53.760002,63.49,136.15
180608139.5,-36.128128,21.56728,-31.899858,-81.97,172.9,218.12
180608158.0,-43.31403,3.62047,-14.723563,-43.61,263.97,204.33
180608177.2,-29.834778,-15.455793,-15.1830015,73.01,320.18,81.48
180608196.5,-78.35099,2.6513422,46.1592,1334.6901,787.5,26.95
180608215.8,78.274414,-21.124592,-49.96153,617.19,-454.09,311.15
180608236.0,-16.606783,-0.3852582,21.576853,112.42,-285.11002,278.32
180608255.5,2.443159,10.464187,6.7767158,49.84,-60.760002,132.02
180608275.0,-1.5123179,-0.06460852,11.299312,15.75,22.960001,-5.39
180608294.5,-0.2057901,-0.0071787243,12.763772,56.0,207.69,-67.62
180608313.0,0.36850783,-2.8930259,17.908524,179.13,489.3,-96.95
180608332.2,-1.5482116,6.1880603,20.246395,253.4,736.26,-71.47
180608351.5,-24.187515,13.775971,30.234394,47.25,984.9,-130.41
180608370.8,-76.73578,-2.108152,33.29492,-319.13,942.27,-65.31
180608391.0,-78.35099,-13.960226,-68.50417,-62.09,1324.4,-137.13
180608410.5,-78.35099,-6.226347,45.61122,378.35,484.82,51.52
180608430.0,-46.496597,24.228195,41.19152,106.05,313.11002,176.89
180608449.5,-65.35989,-26.664175,74.81905,-102.83,421.12,216.16
180608468.0,-37.98263,-25.534721,78.40124,4.06,205.66,165.62
180608487.2,-2.0746512,-17.889381,59.51402,-29.4,62.65,80.71
180608506.5,4.453202,-24.673275,60.392216,-60.55,-26.39,2.73
180608525.8,17.030327,-14.568025,48.499462,-21.63,-208.67,-83.93
180608545.0,24.177944,1.170132,35.28343,-86.94,-390.39,-102.27
180608564.2,-3.771223,2.9839563,34.5512,-197.12,-600.95,-80.64
180608583.5,-20.090857,9.126552,27.21215,-308.14,-751.1,-79.38
180608602.8,-36.159233,8.61447,31.93336,-390.25,-781.69,-82.81
180608623.0,-36.68807,12.792486,20.086071,-451.15,-726.81,-77.7
180608642.5,-25.470114,4.1110163,-3.9913707,-549.29,-556.5,-126.91
180608662.0,-56.66885,20.370827,-7.8630958,-482.37,-531.58,-228.62
180608681.5,-57.200073,59.91842,-60.767902,-397.67,-459.41,-289.31
180608701.0,-78.35099,62.045715,-44.859848,-332.08,-288.4,-170.1
180608720.5,-78.35099,69.602516,-48.018486,-256.83,6.3,8.47
180608740.0,-65.848045,47.958664,-55.54897,-171.01,211.54,201.04
180608759.5,-76.4917,-78.40124,33.4385,-80.15,340.62,161.77
180608779.0,-78.35099,78.36774,78.40124,79.8,-311.99,460.46
180608798.5,-24.42202,-14.288054,10.545546,39.62,-263.97,328.65
180608818.0,-5.0083566,5.23329,6.901147,3.92,-120.47,114.45
180608837.5,-2.239762,2.914562,9.976034,-1.33,-57.260002,7.77
180608856.0,4.03205,0.60779864,15.060964,57.68,109.13,-60.48
180608875.2,1.4429235,-2.5388756,17.346191,187.6,370.72,-115.92
180608894.5,2.1464386,-2.9360983,19.4017,302.82,646.8,-88.9
180608913.8,-26.374634,8.829831,52.68944,197.96,1034.04,-34.09
180608933.0,-78.35099,-7.011221,39.353767,-15.82,929.11,146.02
180608952.2,-78.35099,-56.443916,78.40124,253.68001,453.25,-179.13
180608971.5,17.817595,74.69941,44.52245,316.12,422.03,-255.36
180608990.8,-53.74711,-10.758514,78.40124,-75.04,420.77,70.42
180609011.0,-0.5695121,-10.021499,78.40124,-234.22,113.19,258.09
180609030.5,2.7518444,-32.265972,68.44675,-275.52,-88.76,274.26
180609050.0,15.458186,-31.438026,49.064186,-273.28,-251.09,159.25
180609069.5,15.855409,-17.434729,43.76629,-366.24,-346.71,-30.1
180609088.0,-3.1562457,-4.0057282,57.69062,-451.57,-484.26,-200.69
180609107.2,-32.73498,11.548175,62.605656,-475.23,-701.54,-329.42
180609126.5,-39.097725,29.12887,62.340042,-492.45,-808.57,-400.4
180609145.8,-48.77943,48.88472,74.32612,-505.12,-857.78,-334.04
180609166.0,-55.12303,58.169205,60.270176,-558.81,-882.63,-185.57
180609185.5,-54.929207,71.92603,28.67661,-486.5,-859.53,-132.79
180609205.0,-78.35099,50.502327,55.326427,-184.73,-626.36,-123.55
180609224.5,-78.35099,30.490435,-73.89061,33.11,-441.42,-203.42
180609244.0,-78.35099,45.47243,-35.599293,181.3,36.19,-327.74
180609263.5,-63.404884,32.5603,-41.540886,188.93001,290.01,-110.67
180609283.0,78.274414,-63.37617,-78.36774,534.52,489.51,20.44
180609302.5,78.274414,-78.40124,-78.36774,1721.72,-1584.24,1372.98
180609321.0,34.570343,78.36774,-78.36774,98.14,375.27,245.35
180609340.2,2.9863493,12.234939,-39.00201,39.48,197.75,-10.36
180609359.5,6.118666,8.994942,1.8377534,14.7,4.76,-47.81
180609378.8,2.0722585,1.7085364,13.7664,-48.09,67.69,-61.670002
180609399.0,-8.34407,-13.797508,2.885847,-23.66,156.1,-80.43
180609418.5,11.299312,-22.108078,15.55151,93.24,481.74,-103.95
180609438.0,-44.608593,-5.8123736,45.694973,46.9,934.64,141.61
180609457.5,-78.35099,7.961205,-78.36774,-1267.77,136.15,304.92
180609476.0,-15.388792,-10.421115,-68.027985,-759.5,-15.96,432.95
180609495.2,-59.693485,-78.40124,-23.933867,-555.59,214.48,511.35
180609514.5,-47.72655,-78.40124,-16.98247,-117.04,208.25,388.43
180609533.8,-39.791668,-29.41602,16.755142,115.01,235.69,111.93
180609554.0,-17.286367,-13.283032,35.750046,-57.61,334.6,-79.31
180609573.5,-22.440693,-21.883144,31.11259,-291.76,380.1,-207.41
180609593.0,-15.987019,-15.987019,28.34639,-326.41,289.87,-183.75
180609612.5,-10.942769,-6.0397,27.248045,-291.69,185.92,-85.89
180609631.0,-9.731957,-1.5410328,24.680454,-348.04,158.9,-21.07
180609650.2,-10.122002,-9.609919,23.759184,-373.87,174.02,1.47
180609669.5,-8.609683,-12.962383,26.89868,-238.91,182.0,-41.09
180609688.8,-6.877218,-7.630984,32.902485,-96.88,188.16,-157.29
180609708.0,-10.863803,0.24646953,41.177162,11.4800005,155.89,-266.77
180609727.2,-15.553903,16.585245,46.987144,93.66,-18.9,-311.22
180609746.5,-9.1480875,37.64523,37.30783,30.94,-259.42,-248.99
180609765.8,-14.9915695,32.265972,26.05159,-135.66,-400.19,-90.79
180609786.0,-27.24326,19.198301,19.693634,-229.32,-481.25,-10.78
180609805.5,-34.828777,17.367727,15.754907,-220.15,-535.15,-38.78
180609825.0,-78.35099,-78.40124,78.40124,-1064.07,559.16,-43.33
180609844.5,-17.039898,41.952465,-40.612434,-170.17,-267.47,-274.12
180609864.0,-21.581638,70.97844,19.4687,-242.48,-522.97003,-318.36002
180609883.5,-30.354038,8.774794,3.48886,-473.97,-603.19,-189.14
180609903.0,-18.755613,11.244275,-7.8439527,-253.82,-649.32,29.89
180609922.5,-24.682846,15.941554,3.5821834,-70.49,-566.09,249.9
180609942.0,-36.59953,10.971483,13.991334,-206.36,-494.2,248.01
180609961.5,-41.406883,-3.8382246,12.950418,-319.9,-527.87,121.8
