timestamp,x,y,z
600193225,-4.087087,3.0748868,8.375178
600193227.4,-4.1540885,2.7255223,8.798723
600193229.8,-3.8980472,1.6702498,9.578811
600193232.1,-3.9650488,1.8377534,9.487881
600193234.5,-4.1014442,2.9743848,8.602505
600193236.9,-3.7784019,2.8762755,8.396714
600193239.2,-3.5845764,1.7133222,9.01887
600193241.6,-3.988978,1.8951832,9.43763
600193245,-4.4149156,2.9743848,8.930333
600193247.5,-4.1732316,2.885847,8.889653
600193250,-3.902833,1.9047549,9.2485895
600193252.5,-4.2354474,2.031579,9.406522
600193255,-4.455595,2.9313123,9.028442
600193257.5,-4.1732316,2.6154485,8.822652
600193260,-3.7879734,1.6893932,9.205518
600193262.5,-4.039229,2.1823323,9.203125
600193264,-4.240233,3.1418884,8.533111
600193266.4,-3.907619,2.6848428,8.602505
600193268.8,-3.7018287,1.6941789,9.076301
600193271.1,-3.8597608,1.9837208,9.100229
600193273.5,-4.0440145,2.988742,8.61447
600193275.9,-3.9315479,2.7805593,8.446965
600193278.2,-3.6324344,1.6702498,9.143302
600193280.6,-3.9482985,1.8066456,9.468738
600193284,-4.2785196,2.7135577,8.939904
600193286.5,-4.0176926,2.5963054,8.865725
600193289,-3.7879734,1.8975761,9.267733
600193291.5,-3.9602628,1.9478272,9.15048
600193294,-4.1277666,2.579555,8.882475
600193296.5,-4.082301,2.474267,8.944691
600193299,-4.087087,1.8545038,9.32277
600193301.5,-4.16366,1.8927903,9.346699
600193304,-4.2665553,2.658521,9.05955
600193306.5,-4.0488005,2.7422726,8.636005
600193309,-3.7114005,2.132081,8.710185
600193311.5,-3.7257578,1.9597918,8.846581
600193314,-3.8310459,2.4120514,8.681471
600193316.5,-3.878904,2.495803,8.781973
600193319,-3.878904,2.3115492,8.918368
600193321.5,-3.852582,2.1249025,9.0978365
600193324,-4.1062303,2.3330853,9.131337
600193326.5,-4.008121,2.4838386,8.89444
600193329,-3.699436,2.0650797,8.915976
600193331.5,-3.8884757,1.9621847,9.224661
600193334,-4.113409,2.1249025,9.124159
600193336.5,-4.3909864,2.2708697,9.380199
600193339,-4.22109,2.1153307,9.229446
600193341.5,-4.039229,2.00765,9.217482
600193343,-4.0751224,2.7949166,8.901618
600193345.4,-4.0176926,2.9576344,8.107173
600193347.8,-3.9004402,1.718108,9.078693
600193350.1,-3.9985495,1.3687434,9.708028
600193352.5,-4.1851964,2.5125535,9.038013
600193354.9,-4.1014442,3.4146798,8.64797
600193357.2,-3.6539707,2.5939124,8.49961
600193359.6,-3.5462897,1.5482116,8.88726
600193363,-3.7568657,2.084223,8.975799
600193365.5,-4.0033355,2.785345,8.585754
600193368,-3.9985495,2.4814458,8.944691
600193370.5,-3.8908687,2.0961876,9.124159
600193373,-4.189982,2.4981961,9.11698
600193375.5,-4.508239,2.5891266,9.138516
600193378,-4.2737336,1.5649619,9.633848
600193380.5,-4.16366,1.6247846,9.813316
600193383,-4.1062303,3.0007067,9.004513
600193385.5,-4.087087,3.3237493,8.286641
600193388,-3.6922572,2.2565124,8.485252
600193390.5,-3.618077,1.5697477,9.02605
600193393,-4.1851964,2.4599094,9.035621
600193395.5,-4.2043395,3.125138,8.6551485
600193398,-3.955477,2.4551237,8.98537
600193400.5,-3.6252558,1.8186102,9.131337
600193403,-3.6898644,2.2589052,8.774794
600193405.5,-3.8621538,2.885847,8.451752
600193408,-3.7855806,2.3522286,8.719757
600193410.5,-3.9650488,1.7276796,9.511809
600193413,-4.3096275,2.1990826,9.43045
600193415.5,-4.268948,2.7183435,9.066729
600193418,-4.1110163,2.5293038,9.069121
600193420.5,-3.9195836,1.9573988,9.0069065
600193422,-3.9817991,1.9358627,9.136123
600193424.4,-4.0918727,2.4862316,8.980584
600193426.8,-4.000942,2.4024796,8.746079
600193429.1,-3.9506912,2.0483294,9.212696
600193431.5,-4.113409,2.290013,9.19116
600193433.9,-4.22109,2.577162,8.858545
600193436.2,-3.7401154,2.3306925,8.750865
600193438.6,-3.541504,2.1177237,8.602505
600193442,-3.7784019,1.9550059,8.901618
600193444.5,-4.1421237,2.0244002,9.32277
600193447,-4.0679436,2.3115492,9.095444
600193449.5,-3.8645465,2.6896286,9.035621
600193452,-3.8477962,2.7542372,8.791544
600193454.5,-3.8454032,2.2086542,8.513967
600193457,-3.7975452,1.7875023,8.999727
600193459.5,-4.0176926,1.9143264,9.239018
600193462,-4.44363,2.340264,9.451987
600193464.5,-4.680528,2.5221252,9.631455
600193467,-4.402951,2.1942968,9.495059
600193469.5,-3.9100118,1.8712541,8.98537
600193472,-3.618077,2.3546216,8.506788
600193474.5,-3.7903664,2.998314,8.265104
600193477,-3.8597608,2.6704855,8.382357
600193479.5,-3.771223,1.7635733,8.992549
600193482,-3.986585,2.08183,9.45438
600193484.5,-4.2665553,2.9791706,8.923154
600193487,-4.1804104,2.7542372,8.753258
600193489.5,-3.7090075,1.7611804,9.11698
600193492,-3.7137933,1.6822144,9.234232
600193494.5,-4.0153,2.711165,8.839402
600193497,-3.988978,2.969599,8.559432
600193499.5,-3.802331,2.1560102,8.987762
600193501,-3.7951522,1.9454343,9.155267
600193503.4,-4.3120203,2.524518,9.073908
600193505.8,-4.5489182,2.316335,9.32277
600193508.1,-4.2234826,1.720501,9.729565
600193510.5,-4.168446,2.2708697,9.43763
600193512.9,-4.2521977,3.2639267,8.59054
600193515.2,-3.7592585,2.680057,8.291427
600193517.6,-3.3620358,1.536247,8.659934
600193521,-3.6132913,1.8449322,8.813081
600193523.5,-4.245019,2.9863493,8.882475
