timestamp,x,y,z
600384505.0,-2.8,-0.035,1.365
600384507.5,-2.065,-1.155,1.365
600384510.0,-1.05,-2.73,1.6800001
600384512.5,-1.715,-3.465,1.645
600384515.0,-1.505,-2.38,1.4350001
600384517.5,-0.945,-0.91,1.365
600384520.0,-1.575,-0.07,1.47
600384522.5,-1.96,-0.385,1.4350001
600384525.0,-1.33,-1.225,1.575
600384527.5,-1.19,-1.995,1.715
600384530.0,-1.295,-1.785,1.47
600384532.5,-0.735,-1.4350001,1.4350001
600384535.0,-1.155,-0.98,1.33
600384537.5,-1.4350001,-0.21000001,1.26
600384540.0,-0.805,-0.175,1.4350001
600384542.5,-1.365,-1.645,1.6800001
600384544.0,-1.715,-2.415,1.575
600384546.4,-0.525,-1.785,1.365
600384548.8,-0.175,-0.595,1.33
600384551.1,-1.26,0.42000002,1.365
600384553.5,-1.6800001,0.91,1.365
600384555.9,-0.77,0.245,1.4350001
600384558.2,-0.665,-1.155,1.575
600384560.6,-0.805,-2.17,1.505
600384564.0,-0.875,-2.205,1.4350001
600384566.5,-0.805,-0.735,1.47
600384569.0,-0.84000003,0.735,1.4350001
600384571.5,-1.19,1.085,1.47
600384574.0,-0.98,0.28,1.505
600384576.5,-0.49,-0.875,1.645
600384579.0,-0.735,-1.645,1.575
600384581.5,-0.91,-1.47,1.505
600384584.0,-0.805,-0.49,1.575
600384586.5,-0.735,0.525,1.295
600384589.0,-0.56,0.805,1.4
600384591.5,-0.665,-0.315,1.575
600384594.0,-0.805,-1.855,1.54
600384596.5,-0.28,-1.89,1.4350001
600384599.0,0.14,-0.56,1.295
600384601.5,-0.455,0.77,1.33
600384604.0,-1.085,1.4,1.365
600384606.5,-0.49,0.84000003,1.4350001
600384609.0,0.0,-0.525,1.54
600384611.5,-0.42000002,-2.065,1.61
600384614.0,-0.735,-1.995,1.505
600384616.5,-0.035,-0.455,1.365
600384619.0,-0.035,0.805,1.47
600384621.5,-1.155,0.945,1.54
600384624.0,-1.12,0.385,1.505
600384626.5,0.175,-0.525,1.54
600384629.0,0.14,-0.91,1.575
600384631.5,-0.525,-0.665,1.54
600384634.0,-0.595,-0.455,1.6800001
600384636.5,-0.91,-0.07,1.575
600384639.0,-0.35,0.28,1.54
600384641.5,-0.21000001,-0.84000003,1.855
600384644.0,-1.05,-1.995,1.785
600384646.5,-0.14,-1.26,1.4350001
600384649.0,0.84000003,-0.035,1.505
600384651.5,-0.84000003,0.77,1.47
600384654.0,-1.4350001,0.98,1.47
600384656.5,-0.35,0.035,1.54
600384659.0,-0.14,-1.47,1.6800001
600384661.5,-0.56,-2.065,1.575
600384664.0,-0.63,-1.715,1.47
600384666.5,-0.49,-0.56,1.33
600384669.0,-0.455,0.77,1.365
600384671.5,-0.805,0.875,1.4
600384674.0,-0.805,-0.49,1.505
600384676.5,-0.735,-1.505,1.4350001
600384679.0,-0.245,-1.47,1.33
600384681.5,-0.35,-0.7,1.365
600384683.0,-1.12,0.245,1.19
600384685.4,-0.805,0.805,1.26
600384687.8,-0.665,0.595,1.47
600384690.1,-0.945,-0.805,1.54
600384692.5,-0.56,-2.24,1.575
600384694.9,0.07,-2.38,1.365
600384697.2,0.0,-0.7,1.225
600384699.6,-0.875,1.47,1.225
600384703.0,-1.54,1.6800001,1.47
600384705.5,-0.945,0.455,1.47
600384708.0,0.035,-0.56,1.47
600384710.5,0.245,-1.4350001,1.61
